# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
  CI (99.9%): [≈ 0, 13113.789] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load.norm":
  ≈ 10⁻⁴ classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate":
  1003.939 ±(99.9%) 24.526 MB/sec [Average]
  (min, avg, max) = (963.723, 1003.939, 1030.699), stdev = 22.941
  CI (99.9%): [979.414, 1028.465] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate.norm":
  3562.230 ±(99.9%) 3.286 B/op [Average]
  (min, avg, max) = (3560.125, 3562.230, 3566.566), stdev = 3.074
  CI (99.9%): [3558.944, 3565.516] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space":
  1006.293 ±(99.9%) 28.015 MB/sec [Average]
  (min, avg, max) = (958.626, 1006.293, 1048.778), stdev = 26.205
  CI (99.9%): [978.278, 1034.307] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space.norm":
  3571.378 ±(99.9%) 95.667 B/op [Average]
  (min, avg, max) = (3427.651, 3571.378, 3755.759), stdev = 89.487
  CI (99.9%): [3475.712, 3667.045] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space":
  0.002 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (0.001, 0.002, 0.004), stdev = 0.001
  CI (99.9%): [0.002, 0.003] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space.norm":
  0.009 ±(99.9%) 0.003 B/op [Average]
  (min, avg, max) = (0.005, 0.009, 0.014), stdev = 0.003
  CI (99.9%): [0.006, 0.011] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.count":
  262.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (17.000, 17.467, 18.000), stdev = 0.516
  CI (99.9%): [262.000, 262.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.time":
  262.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (15.000, 17.467, 25.000), stdev = 2.774
  CI (99.9%): [262.000, 262.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 2048, numberEvent = 100, poolSize = 64)

# Run progress: 20.83% complete, ETA 03:37:39
# Fork: 1 of 5
# Warmup Iteration   1: 308974.361 ops/s
# Warmup Iteration   2: 308064.552 ops/s
# Warmup Iteration   3: 308348.649 ops/s
# Warmup Iteration   4: 307833.656 ops/s
# Warmup Iteration   5: 307062.156 ops/s
# Warmup Iteration   6: 308197.012 ops/s
# Warmup Iteration   7: 307038.827 ops/s
# Warmup Iteration   8: 308209.784 ops/s
# Warmup Iteration   9: 307723.449 ops/s
# Warmup Iteration  10: 307582.818 ops/s
Iteration   1: 306661.447 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   990.371 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          990.213 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3559.565 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   2: 307961.098 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   994.761 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          990.730 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3545.704 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         16.000 ms

Iteration   3: 308363.010 ops/s
                 ·class.load:                      15388.555 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   963.119 MB/sec
                 ·gc.alloc.rate.norm:              3566.550 B/op
                 ·gc.churn.G1_Eden_Space:          1011.492 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3745.684 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.009 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms


# Run progress: 21.67% complete, ETA 03:35:21
# Fork: 2 of 5
# Warmup Iteration   1: 306982.438 ops/s
# Warmup Iteration   2: 319704.886 ops/s
# Warmup Iteration   3: 318658.534 ops/s
# Warmup Iteration   4: 318716.242 ops/s
# Warmup Iteration   5: 319047.336 ops/s
# Warmup Iteration   6: 318922.022 ops/s
# Warmup Iteration   7: 318409.691 ops/s
# Warmup Iteration   8: 318217.330 ops/s
# Warmup Iteration   9: 318447.792 ops/s
# Warmup Iteration  10: 319125.254 ops/s
Iteration   1: 318514.108 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1028.551 MB/sec
                 ·gc.alloc.rate.norm:              3560.125 B/op
                 ·gc.churn.G1_Eden_Space:          990.468 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3428.309 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         16.000 ms

Iteration   2: 318881.247 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1029.990 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1047.935 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3622.159 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms

Iteration   3: 318403.655 ops/s
                 ·class.load:                      15073.096 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1012.741 MB/sec
                 ·gc.alloc.rate.norm:              3566.345 B/op
                 ·gc.churn.G1_Eden_Space:          1030.912 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3630.334 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms


# Run progress: 22.50% complete, ETA 03:33:03
# Fork: 3 of 5
# Warmup Iteration   1: 309134.058 ops/s
# Warmup Iteration   2: 308313.413 ops/s
# Warmup Iteration   3: 307905.214 ops/s
# Warmup Iteration   4: 307920.587 ops/s
# Warmup Iteration   5: 308041.318 ops/s
# Warmup Iteration   6: 307404.307 ops/s
# Warmup Iteration   7: 305680.012 ops/s
# Warmup Iteration   8: 307194.822 ops/s
# Warmup Iteration   9: 307710.009 ops/s
# Warmup Iteration  10: 308297.394 ops/s
Iteration   1: 307663.741 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   993.626 MB/sec
                 ·gc.alloc.rate.norm:              3560.134 B/op
                 ·gc.churn.G1_Eden_Space:          990.211 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3547.897 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.004 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         17.000 ms

Iteration   2: 306840.296 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   991.031 MB/sec
                 ·gc.alloc.rate.norm:              3560.134 B/op
                 ·gc.churn.G1_Eden_Space:          990.617 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3558.646 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         16.000 ms

Iteration   3: 307525.701 ops/s
                 ·class.load:                      15327.013 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   962.878 MB/sec
                 ·gc.alloc.rate.norm:              3566.565 B/op
                 ·gc.churn.G1_Eden_Space:          958.271 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3549.499 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 23.33% complete, ETA 03:30:46
# Fork: 4 of 5
# Warmup Iteration   1: 310777.092 ops/s
# Warmup Iteration   2: 318888.944 ops/s
# Warmup Iteration   3: 318625.634 ops/s
# Warmup Iteration   4: 318944.548 ops/s
# Warmup Iteration   5: 317948.683 ops/s
# Warmup Iteration   6: 318311.629 ops/s
# Warmup Iteration   7: 318795.563 ops/s
# Warmup Iteration   8: 317219.259 ops/s
# Warmup Iteration   9: 316547.448 ops/s
# Warmup Iteration  10: 317420.777 ops/s
Iteration   1: 317407.892 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1025.028 MB/sec
                 ·gc.alloc.rate.norm:              3560.126 B/op
                 ·gc.churn.G1_Eden_Space:          990.465 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3440.080 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         16.000 ms

Iteration   2: 318594.052 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1029.107 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1048.925 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3628.693 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.009 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms

Iteration   3: 318356.714 ops/s
                 ·class.load:                      15314.521 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   998.989 MB/sec
                 ·gc.alloc.rate.norm:              3566.340 B/op
                 ·gc.churn.G1_Eden_Space:          1016.002 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3627.076 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.010 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms


# Run progress: 24.17% complete, ETA 03:28:28
# Fork: 5 of 5
# Warmup Iteration   1: 309559.814 ops/s
# Warmup Iteration   2: 318295.850 ops/s
# Warmup Iteration   3: 318553.801 ops/s
# Warmup Iteration   4: 318815.732 ops/s
# Warmup Iteration   5: 318475.752 ops/s
# Warmup Iteration   6: 318724.920 ops/s
# Warmup Iteration   7: 318653.917 ops/s
# Warmup Iteration   8: 318448.149 ops/s
# Warmup Iteration   9: 319261.647 ops/s
# Warmup Iteration  10: 318418.935 ops/s
Iteration   1: 318853.273 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1029.668 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          991.085 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3426.724 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         16.000 ms

Iteration   2: 318907.838 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1030.104 MB/sec
                 ·gc.alloc.rate.norm:              3560.136 B/op
                 ·gc.churn.G1_Eden_Space:          1048.055 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3622.178 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.010 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms

Iteration   3: 318648.098 ops/s
                 ·class.load:                      15308.677 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   998.157 MB/sec
                 ·gc.alloc.rate.norm:              3566.345 B/op
                 ·gc.churn.G1_Eden_Space:          1015.789 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3629.342 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms



Result "trile.ConcurrencyBenchmark.coroutine":
  314105.478 ±(99.9%) 5991.915 ops/s [Average]
  (min, avg, max) = (306661.447, 314105.478, 318907.838), stdev = 5604.841
  CI (99.9%): [308113.563, 320097.393] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load":
  5094.124 ±(99.9%) 7972.323 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5094.124, 15388.555), stdev = 7457.316
  CI (99.9%): [≈ 0, 13066.447] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load.norm":
  ≈ 10⁻⁴ classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate":
  1005.208 ±(99.9%) 25.095 MB/sec [Average]
  (min, avg, max) = (962.878, 1005.208, 1030.104), stdev = 23.473
  CI (99.9%): [980.113, 1030.303] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate.norm":
  3562.230 ±(99.9%) 3.286 B/op [Average]
  (min, avg, max) = (3560.125, 3562.230, 3566.565), stdev = 3.074
  CI (99.9%): [3558.944, 3565.516] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space":
  1007.411 ±(99.9%) 28.768 MB/sec [Average]
  (min, avg, max) = (958.271, 1007.411, 1048.925), stdev = 26.910
  CI (99.9%): [978.643, 1036.180] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space.norm":
  3570.793 ±(99.9%) 94.496 B/op [Average]
  (min, avg, max) = (3426.724, 3570.793, 3745.684), stdev = 88.392
  CI (99.9%): [3476.297, 3665.289] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space":
  0.002 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (0.001, 0.002, 0.003), stdev = 0.001
  CI (99.9%): [0.002, 0.003] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space.norm":
  0.008 ±(99.9%) 0.002 B/op [Average]
  (min, avg, max) = (0.004, 0.008, 0.011), stdev = 0.002
  CI (99.9%): [0.006, 0.011] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.count":
  262.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (17.000, 17.467, 18.000), stdev = 0.516
  CI (99.9%): [262.000, 262.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.time":
  244.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (15.000, 16.267, 17.000), stdev = 0.704
  CI (99.9%): [244.000, 244.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 2048, numberEvent = 1000000, poolSize = 8)

# Run progress: 25.00% complete, ETA 03:26:11
# Fork: 1 of 5
# Warmup Iteration   1: 37.999 ops/s
# Warmup Iteration   2: 39.157 ops/s
# Warmup Iteration   3: 39.148 ops/s
# Warmup Iteration   4: 39.202 ops/s
# Warmup Iteration   5: 39.161 ops/s
# Warmup Iteration   6: 39.127 ops/s
# Warmup Iteration   7: 39.142 ops/s
# Warmup Iteration   8: 39.237 ops/s
# Warmup Iteration   9: 39.133 ops/s
# Warmup Iteration  10: 39.183 ops/s
Iteration   1: 39.196 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   856.771 MB/sec
                 ·gc.alloc.rate.norm:              24084339.237 B/op
                 ·gc.churn.G1_Eden_Space:          872.749 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24533476.641 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 210.076 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         14.000 ms

Iteration   2: 39.167 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   855.963 MB/sec
                 ·gc.alloc.rate.norm:              24084339.298 B/op
                 ·gc.churn.G1_Eden_Space:          871.925 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24533476.641 B/op
                 ·gc.churn.G1_Survivor_Space:      0.005 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 141.802 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         14.000 ms

Iteration   3: 39.093 ops/s
                 ·class.load:                      15357.962 classes/sec
                 ·class.load.norm:                 3.770 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   827.565 MB/sec
                 ·gc.alloc.rate.norm:              24134731.592 B/op
                 ·gc.churn.G1_Eden_Space:          787.158 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     22956324.571 B/op
                 ·gc.churn.G1_Survivor_Space:      0.009 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 255.510 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         13.000 ms


# Run progress: 25.83% complete, ETA 03:23:54
# Fork: 2 of 5
# Warmup Iteration   1: 38.137 ops/s
# Warmup Iteration   2: 39.197 ops/s
# Warmup Iteration   3: 39.081 ops/s
# Warmup Iteration   4: 39.191 ops/s
# Warmup Iteration   5: 39.146 ops/s
# Warmup Iteration   6: 39.184 ops/s
# Warmup Iteration   7: 39.146 ops/s
# Warmup Iteration   8: 39.196 ops/s
# Warmup Iteration   9: 39.114 ops/s
# Warmup Iteration  10: 39.154 ops/s
Iteration   1: 39.142 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   855.039 MB/sec
                 ·gc.alloc.rate.norm:              24084341.714 B/op
                 ·gc.churn.G1_Eden_Space:          873.206 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24596062.041 B/op
                 ·gc.churn.G1_Survivor_Space:      0.008 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 215.163 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 39.153 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   856.047 MB/sec
                 ·gc.alloc.rate.norm:              24084341.571 B/op
                 ·gc.churn.G1_Eden_Space:          874.235 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24596062.041 B/op
                 ·gc.churn.G1_Survivor_Space:      0.009 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 247.469 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 39.015 ops/s
                 ·class.load:                      15352.934 classes/sec
                 ·class.load.norm:                 3.780 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   825.731 MB/sec
                 ·gc.alloc.rate.norm:              24134868.808 B/op
                 ·gc.churn.G1_Eden_Space:          787.418 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     23015036.399 B/op
                 ·gc.churn.G1_Survivor_Space:      0.005 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 134.752 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         11.000 ms


# Run progress: 26.67% complete, ETA 03:21:37
# Fork: 3 of 5
# Warmup Iteration   1: 37.769 ops/s
# Warmup Iteration   2: 38.910 ops/s
# Warmup Iteration   3: 38.895 ops/s
# Warmup Iteration   4: 38.853 ops/s
# Warmup Iteration   5: 38.978 ops/s
# Warmup Iteration   6: 38.938 ops/s
# Warmup Iteration   7: 39.021 ops/s
# Warmup Iteration   8: 38.918 ops/s
# Warmup Iteration   9: 38.949 ops/s
# Warmup Iteration  10: 38.830 ops/s
Iteration   1: 38.952 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   851.050 MB/sec
                 ·gc.alloc.rate.norm:              24084346.400 B/op
                 ·gc.churn.G1_Eden_Space:          873.589 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24722195.692 B/op
                 ·gc.churn.G1_Survivor_Space:      0.008 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 227.569 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 39.011 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   852.533 MB/sec
                 ·gc.alloc.rate.norm:              24084343.939 B/op
                 ·gc.churn.G1_Eden_Space:          872.873 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24658967.570 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 211.867 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         14.000 ms

Iteration   3: 39.005 ops/s
                 ·class.load:                      15380.453 classes/sec
                 ·class.load.norm:                 3.780 classes/op
